"Fecha","NFLX.Open","NFLX.High","NFLX.Low","NFLX.Close","NFLX.Volume","NFLX.Adjusted","Año","Año2g","Mes_num","Mes_txt","Mes_txt2","Dia_num","Dia_año","Dia_txt","Dia_txt2","Semana_D","Semana_L","Trimestre","TrimestreQ"
2024-06-28,67.9000015258789,68.6999969482422,67.3079986572266,67.4879989624023,34124000,67.4879989624023,"2024","24","06","junio","jun.","28","180","viernes","vie.","25","26",2,2024 Q2
2024-07-01,67.4889984130859,67.5019989013672,66.3779983520508,67.3610000610352,22128000,67.3610000610352,"2024","24","07","julio","jul.","01","183","lunes","lun.","26","27",3,2024 Q3
2024-07-02,67.3539962768555,68.1740036010742,67.0070037841797,67.9580001831055,24114000,67.9580001831055,"2024","24","07","julio","jul.","02","184","martes","mar.","26","27",3,2024 Q3
2024-07-03,67.7480010986328,68.375,67.5500030517578,68.2509994506836,14035000,68.2509994506836,"2024","24","07","julio","jul.","03","185","miércoles","mié.","26","27",3,2024 Q3
2024-07-05,68.2509994506836,69.7490005493164,67.7229995727539,69.0650024414062,26591000,69.0650024414062,"2024","24","07","julio","jul.","05","187","viernes","vie.","26","27",3,2024 Q3
2024-07-08,68.6999969482422,68.8860015869141,68.1490020751953,68.5739974975586,19308000,68.5739974975586,"2024","24","07","julio","jul.","08","190","lunes","lun.","27","28",3,2024 Q3
2024-07-09,69,69.5270004272461,68.4720001220703,68.5739974975586,25961000,68.5739974975586,"2024","24","07","julio","jul.","09","191","martes","mar.","27","28",3,2024 Q3
2024-07-10,68.5019989013672,68.7220001220703,67.3160018920898,67.7649993896484,26519000,67.7649993896484,"2024","24","07","julio","jul.","10","192","miércoles","mié.","27","28",3,2024 Q3
2024-07-11,67.2490005493164,67.2490005493164,64.7440032958984,65.2750015258789,51066000,65.2750015258789,"2024","24","07","julio","jul.","11","193","jueves","jue.","27","28",3,2024 Q3
2024-07-12,65.2750015258789,65.5920028686523,64.3710021972656,64.7600021362305,33552000,64.7600021362305,"2024","24","07","julio","jul.","12","194","viernes","vie.","27","28",3,2024 Q3
2024-07-15,64.75,66.7539978027344,64.6630020141602,65.6449966430664,32088000,65.6449966430664,"2024","24","07","julio","jul.","15","197","lunes","lun.","28","29",3,2024 Q3
2024-07-16,66.1800003051758,66.3679962158203,64.9130020141602,65.6320037841797,26857000,65.6320037841797,"2024","24","07","julio","jul.","16","198","martes","mar.","28","29",3,2024 Q3
2024-07-17,65,65.0449981689453,63.9469985961914,64.7460021972656,40173000,64.7460021972656,"2024","24","07","julio","jul.","17","199","miércoles","mié.","28","29",3,2024 Q3
2024-07-18,65.6600036621094,65.7040023803711,63.9169998168945,64.3040008544922,75758000,64.3040008544922,"2024","24","07","julio","jul.","18","200","jueves","jue.","28","29",3,2024 Q3
2024-07-19,66.0640029907227,67.8970031738281,62.9119987487793,63.3339996337891,98156000,63.3339996337891,"2024","24","07","julio","jul.","19","201","viernes","vie.","28","29",3,2024 Q3
2024-07-22,63.9500007629395,65.6289978027344,63.2599983215332,64.75,52191000,64.75,"2024","24","07","julio","jul.","22","204","lunes","lun.","29","30",3,2024 Q3
2024-07-23,64.75,64.9909973144531,64.0999984741211,64.2760009765625,24636000,64.2760009765625,"2024","24","07","julio","jul.","23","205","martes","mar.","29","30",3,2024 Q3
2024-07-24,63.5740013122559,65.2419967651367,63.2669982910156,63.5989990234375,48882000,63.5989990234375,"2024","24","07","julio","jul.","24","206","miércoles","mié.","29","30",3,2024 Q3
2024-07-25,64.0999984741211,64.9980010986328,62.1699981689453,63.4090003967285,45545000,63.4090003967285,"2024","24","07","julio","jul.","25","207","jueves","jue.","29","30",3,2024 Q3
2024-07-26,64.5,64.6989974975586,62.9770011901855,63.1370010375977,31207000,63.1370010375977,"2024","24","07","julio","jul.","26","208","viernes","vie.","29","30",3,2024 Q3
2024-07-29,63.4609985351562,63.4609985351562,62.3930015563965,62.6959991455078,24005000,62.6959991455078,"2024","24","07","julio","jul.","29","211","lunes","lun.","30","31",3,2024 Q3
